id,姓名,加入時間,班級
0,範郁婷,2021-06-29 19:28:13.866481,7月班
1,黃惠如,2021-06-30 01:29:57.825885,7月班
2,張筱涵,2021-06-21 22:43:37.208326,7月班
3,康詩涵,2021-06-26 05:09:29.088743,7月班
4,陳沖,2021-06-30 16:04:42.893548,7月班
5,盧佳樺,2021-06-25 14:49:52.248038,7月班
6,宋佳樺,2021-06-28 12:27:02.341184,7月班
7,金佳蓉,2021-06-25 00:17:12.629889,7月班
8,鄒思穎,2021-06-27 21:20:56.543383,7月班
9,蔣家瑜,2021-06-22 04:18:42.088485,7月班
10,沈俊傑,2021-06-29 08:49:31.391798,7月班
11,陳宇軒,2021-06-28 14:03:04.922811,7月班
12,徐怡君,2021-06-25 20:03:45.551935,7月班
13,方志豪,2021-06-22 14:03:52.732766,7月班
14,孫佩珊,2021-06-20 03:15:50.076491,7月班
15,劉美琪,2021-06-25 15:50:13.273818,7月班
16,漆承翰,2021-06-21 01:09:04.862579,7月班
17,宋家瑜,2021-06-27 01:42:25.072230,7月班
18,易淑慧,2021-06-30 04:58:02.208009,7月班
19,郭佩君,2021-06-24 01:49:44.814556,7月班
20,段婷婷,2021-06-22 06:58:30.828000,7月班
21,李宜君,2021-06-29 23:33:04.408022,7月班
22,丁傑克,2021-06-28 10:41:13.915091,7月班
23,李家銘,2021-06-25 07:32:31.254435,7月班
24,謝美琪,2021-06-28 04:36:25.139338,7月班
25,陳靜怡,2021-06-23 04:23:55.001227,7月班
26,李信宏,2021-06-23 02:20:05.431426,7月班
27,張佳玲,2021-06-28 11:44:47.320195,7月班
28,翟淑惠,2021-06-22 04:28:05.183445,7月班
29,許美玲,2021-06-27 22:36:59.817903,7月班
30,孫美玲,2021-06-30 01:06:42.967116,7月班
31,陳雅筑,2021-06-28 04:11:30.100433,7月班
32,孫志宏,2021-06-20 16:43:36.390173,7月班
33,李家瑋,2021-06-24 01:48:40.254423,7月班
34,伍傑克,2021-06-27 07:43:45.861639,7月班
35,鄧柏翰,2021-06-26 00:05:41.084545,7月班
36,勞冠宇,2021-06-28 21:50:16.333415,7月班
37,耿淑芬,2021-06-29 06:46:10.504549,7月班
38,張家瑜,2021-06-29 09:09:24.249971,7月班
39,杜宗翰,2021-06-30 12:00:30.259812,7月班
40,禹飛,2021-06-21 23:42:14.804877,7月班
41,趙雅惠,2021-06-30 22:27:54.811082,7月班
42,王佳蓉,2021-06-30 09:50:35.656345,7月班
43,華美玲,2021-06-24 20:02:18.528695,7月班
44,趙瑋婷,2021-06-29 21:46:46.902602,7月班
45,顧雅慧,2021-06-24 07:13:04.198754,7月班
46,張俊賢,2021-06-25 14:21:56.484281,7月班
47,馮家銘,2021-06-28 03:13:41.564048,7月班
48,劉詩婷,2021-06-29 23:08:52.953003,7月班
49,吳惠如,2021-06-30 00:51:16.434544,7月班
50,蔣雅惠,2021-06-24 07:18:05.895022,7月班
51,馬宇軒,2021-06-17 19:56:52.365773,7月班
52,夏俊宏,2021-06-22 19:35:38.256557,7月班
53,楊宜君,2021-06-28 03:41:08.780501,7月班
54,章志偉,2021-06-26 05:51:52.961470,7月班
55,莊怡安,2021-06-29 04:31:18.185066,7月班
56,李威廷,2021-06-25 22:20:45.825457,7月班
57,徐雅文,2021-06-24 21:32:15.170169,7月班
58,郭怡伶,2021-06-29 06:54:09.092548,7月班
59,潘宇軒,2021-06-30 21:02:15.948587,7月班
60,袁雅文,2021-06-29 15:50:48.130225,7月班
61,陳瑋婷,2021-06-22 06:48:20.286033,7月班
62,陳詩婷,2021-06-30 01:16:43.277296,7月班
63,丁羽,2021-06-30 02:29:40.170769,7月班
64,馬雅涵,2021-06-30 01:11:54.622155,7月班
65,時羽,2021-06-28 15:59:03.218711,7月班
66,趙雅慧,2021-06-24 11:20:09.538822,7月班
67,向雅文,2021-06-23 14:11:50.879599,7月班
68,葛雅雯,2021-06-24 17:36:05.493033,7月班
69,陳威廷,2021-06-26 20:33:53.815118,7月班
70,張雅琪,2021-06-23 05:57:25.129215,7月班
71,張威廷,2021-06-28 01:51:18.645219,7月班
72,莫沖,2021-06-21 19:42:41.937607,7月班
73,劉俊宏,2021-06-29 12:39:52.809548,7月班
74,張宗翰,2021-06-21 01:02:28.297426,7月班
75,郝惠婷,2021-06-16 10:41:14.914068,7月班
76,王雅文,2021-06-28 22:52:25.074681,7月班
77,吳威廷,2021-06-29 08:01:03.946039,7月班
78,孫婉婷,2021-06-26 17:55:46.432673,7月班
79,傅飛,2021-06-30 05:17:08.156237,7月班
80,王庭瑋,2021-06-24 09:30:24.284172,7月班
81,鄭淑娟,2021-06-21 22:50:44.746641,7月班
